Datetime,winner_return,loser_return,R_WML,SMB_WML,HML_WML,RMW_WML,CMA_WML
2021-10-11 09:32:00-04:00,0.005409880603216936,0.00019213049767547534,0.005217750105541461,0.013753457438330525,0.0017521481443752555,-0.001094198454523067,0.0017912370814096173
2021-10-11 09:34:00-04:00,0.00013702126337794126,-0.004206292603828071,0.004343313867206012,0.01061509157300519,-0.0017103656212078492,0.00019919846839496305,-0.00046343561012730696
2021-10-11 09:36:00-04:00,0.0021401061372534596,-0.001644458221439504,0.0037845643586929636,0.009454189561015909,-0.0004025998458910948,-0.00038795519008006296,0.0011553896814632716
2021-10-11 09:38:00-04:00,0.0021541384160588014,-0.0007008254369452866,0.002854963853004088,0.00956215058437208,-0.0003236713332382896,-0.0008318215471360873,0.0013452981432423962
2021-10-11 09:40:00-04:00,0.0026374526160332424,0.00011368196279875782,0.0025237706532344846,0.008172849506002063,-0.0013924786945968054,-0.00022890149011330465,0.00015647103913658442
2021-10-11 09:42:00-04:00,0.0015676263934456822,-0.00015903732427853754,0.0017266637177242197,0.005700619128262837,0.00027958948349340374,-0.0004019361567833528,-0.00015490930851459723
2021-10-11 09:44:00-04:00,0.0022031880325289687,3.713765995848863e-05,0.00216605037257048,0.007139308842817733,0.0010510632035974777,-4.878807440831319e-05,-0.00014436000636633596
2021-10-11 09:46:00-04:00,0.0023643950401804176,4.8631535965772004e-05,0.0023157635042146455,0.006650831661884614,0.00044065622426095257,-0.001369300056976106,0.00032327122621569714
2021-10-11 09:48:00-04:00,0.0011249174071650664,-0.000845727759572386,0.0019706451667374524,0.004799258218109335,-0.00018143684647169123,-0.00016580223803352436,0.0008113101800708363
2021-10-11 09:50:00-04:00,0.0020294761657387752,0.00020689469405767952,0.0018225814716810956,0.005130492804261549,-0.0002431563585712957,-0.00015562572524450535,9.376410900304154e-05
2021-10-11 09:52:00-04:00,0.0026556981309459396,0.0002894250606301918,0.002366273070315748,0.004303290351962344,-0.0007605740883425577,-0.0004366180335172104,-0.00024055327722370077
2021-10-11 09:54:00-04:00,0.0009696119475853094,-0.00043287578392239964,0.001402487731507709,0.004785545407053672,0.0002650435387546266,-0.00047269296089362653,0.00019089429041693555
2021-10-11 09:56:00-04:00,0.0010248364708243158,-0.00019139069782934303,0.0012162271686536588,0.0038267856877150395,-0.00023428768549471456,-0.0001985769886876264,5.666549334543903e-05
2021-10-11 09:58:00-04:00,0.0013552542737267,-0.0001637839484665874,0.0015190382221932873,0.003469184613072047,-0.00032232606948916166,-1.3398807062323407e-05,-0.00031731491212027
2021-10-11 10:00:00-04:00,0.0011695255876191055,-0.00041572672117619797,0.0015852523087953034,0.004628451582986926,0.00041269934044379434,0.0002488380031823579,-0.0004932894370736633
2021-10-11 10:02:00-04:00,0.0011881352882988176,-0.0002644661783589766,0.0014526014666577942,0.0041408013442993455,0.00016395688916913495,-0.0002090947134509989,-3.643100010122043e-07
2021-10-11 10:04:00-04:00,-7.063178796167674e-05,-0.0013904299560109322,0.0013197981680492556,0.004888902943301642,0.0002813337486790909,-0.0005134118346466455,0.0001158385164696129
2021-10-11 10:06:00-04:00,0.0017120103535587768,-9.921873832293668e-06,0.0017219322273910704,0.0055057029274970595,0.00022361642873518017,-0.00039563876597131597,0.00020198977429764347
2021-10-11 10:08:00-04:00,0.0005246622337117305,-0.0009577319784605401,0.0014823942121722706,0.0036329493285649143,-2.230377915590781e-05,-0.00010817079097897588,-0.00015432791986604206
2021-10-11 10:10:00-04:00,0.0016569083226899292,0.0006001501925295188,0.0010567581301604103,0.0044824882061696904,-0.00021927916071771828,-0.0001946518954969034,-0.00036973388947565244
2021-10-11 10:12:00-04:00,0.00036843998271101995,-0.0012691789710391743,0.0016376189537501942,0.004394484974179798,4.979689415663649e-05,-0.0002569819761534042,0.00039860752471838196
2021-10-11 10:14:00-04:00,0.001422714695456386,0.00019769137901103607,0.0012250233164453497,0.007366222774568385,0.0005789256493920797,-0.0012870025752402092,0.00048553322886370567
2021-10-11 10:16:00-04:00,0.0006267487999310874,-0.0007666424582719131,0.0013933912582030005,0.004066846035288382,-6.667661241648818e-05,-0.00013807432170892726,-0.0002675014911918338
2021-10-11 10:18:00-04:00,0.0011608837191345064,4.309576309183143e-05,0.001117787956042675,0.004874377424116754,1.3226957507150443e-05,-0.00037692511400367105,-0.000467738719327151
2021-10-11 10:20:00-04:00,0.0005159946164108809,-0.0006107933808690345,0.0011267879972799155,0.003968457046787591,-0.0005364503401151779,-6.501982596279613e-05,-0.00018310546980907947
2021-10-11 10:22:00-04:00,0.0006352180806105067,-0.0004256047115464119,0.0010608227921569185,0.0032662788355804643,0.00016526497108192107,-0.00026709549491597275,0.00019183031004855485
2021-10-11 10:24:00-04:00,0.0010390906347337726,-0.00043973269803170153,0.0014788233327654742,0.0032497131952372617,0.00013068845649056725,-2.951334342451276e-05,-5.151141186675713e-05
2021-10-11 10:26:00-04:00,-0.00014300641854254618,-0.0013843282755103535,0.0012413218569678074,0.005015632783878149,-0.000534034712078081,-0.00017637897225348615,-0.0002346721697757183
2021-10-11 10:28:00-04:00,0.0013434876615891812,0.00019849784611677878,0.0011449898154724024,0.005427798499076679,0.00019130585725620245,0.0004277222690779803,-0.000468541665776941
2021-10-11 10:30:00-04:00,5.364005899509818e-05,-0.0012453678906145362,0.0012990079496096344,0.0034844173430249627,0.0002656951084289007,-0.00046493181724729623,2.6430038926517015e-05
